variable,case,original,cityseer,osmnx,parenx-voronoi,parenx-skeletonize,neatnet
stroke_length_max,Douala,0.7713147574351605,0.6422158195377788,0.5782089186192018,0.6547907692603198,0.3049849829241554,0.7495378576567362
stroke_length_max,Liège,0.9155375014525996,0.8045360078685512,0.9071888940798882,0.6434936151226991,0.36409946034020146,0.6296724623764414
stroke_length_max,Salt Lake City,0.6558291271797739,0.6084174477279523,0.702103523824193,0.3726957231172501,0.3113897556825404,0.5283025348672146
stroke_length_max,Wuhan,0.7246453677626191,0.49147243623134285,0.6569433883732668,0.3266559513917528,0.20857563632267218,0.48181908291374764
stroke_length_sum,Aleppo,0.906184074172373,0.7598218676646135,0.7982846587622385,0.7047818719014726,0.45353765627815734,0.6629568493931071
stroke_length_sum,Auckland,0.9661791252296912,0.7300166248097834,0.9374995704388118,0.6832719855593294,0.431093296946999,0.5777708364713549
stroke_length_sum,Bucaramanga,0.9088923931533472,0.8112663532156688,0.7870170782875219,0.7567121034232637,0.6854601882610657,0.7330591744823856
stroke_length_sum,Douala,0.8192050999777188,0.7152436345190132,0.6699766154804557,0.6861475332023543,0.3788336113740948,0.78830087126249
stroke_length_sum,Liège,0.9147296315662594,0.83155417981299,0.9053687309689785,0.7257287415173115,0.5359456944325558,0.6501050124952545
stroke_length_sum,Salt Lake City,0.7636540567676107,0.7510784310203233,0.7118077363324312,0.6672503415949003,0.59076126918377,0.7152556360261961
stroke_length_sum,Wuhan,0.8315740116502439,0.6019079916966612,0.7433026705779187,0.5165161382334618,0.43044742813265174,0.5586647059151315
