variable,case,original,cityseer,osmnx,parenx-voronoi,parenx-skeletonize,neatnet
avg_degree,Aleppo,0.8068636101151437,0.9450255678561037,0.8765596753260847,0.9446084069780905,0.9097429536933417,0.9714836998162572
avg_degree,Auckland,0.753026070160477,0.8820391171871724,0.7873515689322076,0.8869267772626481,0.8782824063444441,0.9063474089082747
avg_degree,Bucaramanga,0.71090274866984,0.9090399060482834,0.7265238017618937,0.947549281675212,0.9374264908265486,0.9693870491149807
avg_degree,Douala,0.8570245870325559,0.9550144617875233,0.9033269627722306,0.9746665236916134,0.93780453354627,0.9867360390405442
avg_degree,Liège,0.7751996219359061,0.9163182094806096,0.8209655446493604,0.9276269244883427,0.9043915510756362,0.9353243662961898
avg_degree,Salt Lake City,0.7134537612270578,0.8394643632557931,0.738796049887654,0.8376493145251678,0.6945998778242332,0.883281070854146
avg_degree,Wuhan,0.7572066904090048,0.8628535604531714,0.817048665531691,0.8566328682611456,0.8021251314534279,0.8874528363468215
coordinate_count,Aleppo,0.9753224542273025,0.9733456287591364,0.9831233405668166,0.9719540891531974,0.891280809675025,0.9840584082786007
coordinate_count,Auckland,0.9376231239063196,0.9567026377274757,0.9491395953852093,0.9009987432026553,0.8525721595003763,0.9385169954719443
coordinate_count,Bucaramanga,0.9679934402762156,0.9262403856993414,0.9724656087604204,0.9693402662043212,0.8921190289294026,0.9822556657398905
coordinate_count,Douala,0.9567362940428094,0.9755294118856584,0.9794087544696555,0.9627820465475583,0.8890115715832119,0.9940429660709412
coordinate_count,Liège,0.9652752715507208,0.9667594082594567,0.9695503787573383,0.9480483046367072,0.8352799397299027,0.9668015160019274
coordinate_count,Salt Lake City,0.900100165175731,0.9204080617462443,0.9321799575840632,0.8170629842291229,0.8076015900430242,0.926336351454344
coordinate_count,Wuhan,0.8859840608058717,0.8956841276684688,0.9035020999910076,0.8790574120945319,0.7616033331844597,0.9037712942416263
edge_count,Aleppo,0.873980430459235,0.9673737141143132,0.9534342786528637,0.9783190882265466,0.9744082742774672,0.9884065186910899
edge_count,Auckland,0.7464069125642587,0.9213108085349659,0.8830421147110143,0.9558767215071117,0.957996379569864,0.9586454843307023
edge_count,Bucaramanga,0.7555483746367966,0.9276171161434176,0.8302246677160068,0.9666080426192071,0.9636419323662918,0.9850738722102724
edge_count,Douala,0.8079370030200449,0.9823592136905007,0.9722449391546452,0.9929752510145564,0.9925352628802004,0.9977111648907556
edge_count,Liège,0.8706713090016852,0.9508364281171333,0.9210732603226748,0.9569689478383049,0.9521488196964035,0.9632801787117141
edge_count,Salt Lake City,0.7319863872852476,0.900994589224168,0.9055985655310027,0.8743075189345105,0.8732549805961685,0.9472420136466557
edge_count,Wuhan,0.7753162245835706,0.8955326686520009,0.89278180309732,0.8765783559826854,0.869077655819381,0.9076743100911157
